objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,venue,playwright/composer,director,scenic designer,props designer,costume designer,lighting designer,technical director,composer,music director,choreographer,sound designer,projection designer,dramaturg,intimacy director,production students,ensemble,collaborators
pity_col,,,,,,,Pity,,,2024-08,,,,,,,,,,compound_object,,,,compound_object,,,,,,,,,Roberts Theatre,Roy Mullarkey,Karie Miller,Lucie Greene '23,,Erin Howell-Gritsch,Jordan Kardasz,Erik Sanning '89;Kate Baumgartner '11,,,,Jon Murphy '26,,Utsah Kalra '25;A Lim '25;Kyla Miller '25;Morgan Smith '26;Hemlock Stainer '25;Brisa Zielina '27,,Lily Blanchard '27;A Lim '25;Kyra Pruszinski '27;Naomi Tange '28;Nellie Ireland '28;Courtney Cecil '26;Natalie Nardone '27;Noelle Buehrer '26;Amelie Pfister '28;Sam Gerardi '28;Olyvia Liu-Cai '28;Graham Sundstrom '25;Em Huss-Lederman '25;Kyla Miller '25Ben Curran '25,,
burn_col,,,,,,,The Burn,,,2024-08,,,,,,,,,,compound_object,,,,compound_object,,,,,,,,,Humanities and Social Sciences Center Auditorium,Philip Dawkins,Jen Shook,,,,,Erik Sanning '89;Kate Baumgartner '11,,,,,,Hazel Saydak '28,,Tyler Quade '27,Olivia Brown '28;Agnes Allman '27;Alyson Won '25;Eva Kapoor '28;Edward Pike '27,
sswb_col,,,,,,,Songs of the Scarlet and Wayback,,,2024-03,,,,,,,,,,compound_object,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/TDPS_archive/SSWB001_3_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/TDPS_archive/SSWB001_3_TN.jpg,,,Flanagan Studio Theatre,Jen Shook,Jen Shook;THD 240 '23;THD 350 '23,Lucie Greene '23,,Erin Howell-Gritsch,Cat Cusick,Erik Sanning '89;Kate Baumgartner '11,,Andra Velis Simon,,,,Maya Albanese '26,,Libby Kerensky '24;Kiera Rennick '26;Lily Blanchard '27;Jon Murphy '26;Jake Reck '24;Lily Blanchard '27;Kiera Rennick '26;Ollie Peterson '26;Sam Wilson '26;Em Huss-Lederman '25;Kyla Miller '25;Ellie Bauer '26;Graham Sundstrom '25;Reese Hill '24,Libby Albright '27;Jadyn Al-Fatah '27;Maia DeGrazia '24;Ali Levine '24;Levi McMillan'27;Aisha Saparali;Hemlock Stanier '25;Amelia Vrieze '26;Lohla Yarolimek '27;Brisa Zielina '27,
folokoto_col,,,,,,,Folokoto the Tornado,,,2024-04,,,,,,,,,,compound_object,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/TDPS_archive/FOLOKOTO001_3_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/TDPS_archive/FOLOKOTO001_3_TN.jpg,,,Roberts Theatre,,Aguibou Bougobali SANOU,S. Benjamin Farrar,,Erin Howell-Gritsch,S. Benjamin Farrar,Erik Sanning '89;Kate Baumgartner '11,,,,,S. Benjamin Farrar,,,Natalie Nardone '27;Charlotte Banta '27;Leti­cia Monteiro '23;Luca Blankenship '23;McAfee Chandler '23;Libby Kerensky '24;Ava Rast '23,Jadyn Al-Fatah '27;Ileah Bonzi '25;Julie Durning '26;Ruby Gerse '24;Bailey Irvin '25;Rose McClain '27;Jillian Poplau '27;Aisha Saparali;Eliot Schilling '26;Lisa Shen '24;Julianna Vajda '24;Lohla Yarolimek '27;Zoe Zappas '27,
everybody_col,,,,,,,Everybody,,,2023-10,,,,,,,,,,compound_object,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/TDPS_archive/Everybody00001_3_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/TDPS_archive/Everybody00001_3_TN.jpg,,,Flanagan Studio Theatre,Branden Jacobs-Jenkins,Karie Miller,Kaelen Novak,,Erin Howell-Gritsch,Jackie Fox,Erik Sanning '89;Kate Baumgartner '11,,Putu Hiranmayena,Karie Miller;Dewa Ayu Eka Putri,Jon Murphy '26,,,,Nina Bigelow '25;Ari Lebaron '27;Natalie Nardone '27;Tyler Quade '27;Ava Rast '23;Samantha Falduto '26;Lily Blanchard '27;Malina Cantemir '24;Kiera Rennick '26;Kyra Pruszinski '27;Kyla Miller '25;Reese Hill '24;Libby Kerensky '24,Reese Hill '24;Sophie Noyes '24;Ella Bernett '27;Nixie Clifford '27;Luca Blankenship '23;Sophie Kempenaar '26;Levi McMillan '27;Kelly Banfield '24;Aisha Saparali;Brisa Zielina '27;Lena Callil-Tomei '27;Lillian Tuai '27;Kourtney Veals '27;Bailey Irvin '25;Tessa Fresco '25;Lohla Yarolimek '27;Kaitlyn Atkin '24;Eliot Schilling '26;Zoe Zappas '27;Hikaru Aoki '26;Jadyn Al-Fatah '27;Sira Nassoko '24;Paul Reif '26;Helenipa Stephens '27;,
watersedge_col,,,,,,,At Water's Edge/Al Filo del Agua,,,2023-04,,,,,,,,,,compound_object,,,,compound_object,,,,,,,,,Flanagan Studio Theatre,Miroslava Wilson,Celeste Miller;Dora Arreola,S. Benjamin Farrar,,,S. Benjamin Farrar;Tim Murphy '24,Erik Sanning '89;Kate Baumgartner '11,,,,,,,,,,
magicacts_col,,,,,,,A Memoir of Magic Acts,,,2023-04,,,,,,,,,,compound_object,,,,compound_object,,,,,,,,,Flanagan Studio Theatre,,Celeste Miller,S. Benjamin Farrar,,Erin Howell-Gritsch,S. Benjamin Farrar;Tim Murphy '24,Erik Sanning '89;Kate Baumgartner '11,,,,,,,,,,
arborfalls_col,,,,,,,Arbor Falls,,,2023-03,,,,,,,,,,compound_object,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/TDPS_archive/arborfalls1_1_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/TDPS_archive/arborfalls1_1_TN.jpg,,,Roberts Theatre,Caridad Svich,Jen Shook;Reese Hill '24;Leticia Monteiro '23,Quinn Legge,,Erin Howell-Gritsch,Julia Corbett,Erik Sanning '89;Kate Baumgartner '11,,,,Julia Corbett,Quinn Legge,Kelly Banfield '24;Luca Blankenship '23;McAfee Chandler '23;Reese Hill '24;Libby Kerensky '24;Leticia Monteiro '23;Karie Miller,Karie Miller,Libby Kerensky '24;Graham Sundstrom '25;David Yawata '22;Lucy Polyak '23;Luca Blankenship '23;Laura Kiely '24;Em Huss-Lederman '24;Kelly Banfield '24,McAfee Chandler '23;Elle Lewis-Eme '23;Evaan Ahmed '23;Kelly Banfield '24;Emma Haddock '26;Noelle Buehrer '26;Samantha Falduto '26;Danny Humphrey '26;Irish Stoll '26,
desires_col,,,,,,,House of Desires,,,2022-11,,,,,,,,,,compound_object,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/TDPS_archive/houseOfDesires00001_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/TDPS_archive/houseOfDesires00001_TN.jpg,,,,Sor Juana Inez de la Cruz,Karie Miller;McAfee Chandler '23,Jackie Fox,,Erin Howell-Gritsch,Gabrielle Strong;Tim Murphy '24,Erik Sanning '89;Kate Baumgartner '11,,Lucie Greene '23,,,Jackie Fox,Karie Miller,,Ava Rast '23;,,
blur_col,,,,,,,Blur,,,2022-10,,,,,,,,,,compound_object,,,,compound_object,,,,,,,,,Flanagan Studio Theatre,,Craig Quintero,Shiou-Ling Sheng,,Erin Howell-Gritsch,S. Benjamin Farrar,Erik Sanning '89;Kate Baumgartner '11,,,,That Phukao Prommolmard '24,,,,Almond Heil '25;Graham Sundstrom;Bella Vilarreal '26;A Lim '25;Wenfei Lin '26;Ava Rast '24;Jon Murphy '26;Nina Bigelow '25;Libby Kerensky '24,Kelly Banfield '24;Caroline Berry '26;Clara Bode '26;Ezra Maloney-Dunn '25;Regan Reedy '26;E.J. Schwartz '23,
